drug,pathway,Rxn_per_pathway
1beta-hydroxyalantolactone_removed_unused_genes,"Alanine and aspartate metabolism",0.230769230769231
1beta-hydroxyalantolactone_removed_unused_genes,"Alkaloid synthesis",0
1beta-hydroxyalantolactone_removed_unused_genes,"Aminosugar metabolism",0.375
1beta-hydroxyalantolactone_removed_unused_genes,"Androgen and estrogen synthesis and metabolism",0.153846153846154
1beta-hydroxyalantolactone_removed_unused_genes,"Arachidonic acid metabolism",0.170731707317073
1beta-hydroxyalantolactone_removed_unused_genes,"Arginine and proline metabolism",0.225
1beta-hydroxyalantolactone_removed_unused_genes,"Beta-Alanine metabolism",0.4
1beta-hydroxyalantolactone_removed_unused_genes,"Bile acid synthesis",0.227027027027027
1beta-hydroxyalantolactone_removed_unused_genes,"Biotin metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Blood group synthesis",0
1beta-hydroxyalantolactone_removed_unused_genes,"Butanoate metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"C5-branched dibasic acid metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Cholesterol metabolism",0.433884297520661
1beta-hydroxyalantolactone_removed_unused_genes,"Chondroitin sulfate degradation",0
1beta-hydroxyalantolactone_removed_unused_genes,"Chondroitin synthesis",0
1beta-hydroxyalantolactone_removed_unused_genes,"Citric acid cycle",0.6
1beta-hydroxyalantolactone_removed_unused_genes,"CoA catabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"CoA synthesis",0.0714285714285714
1beta-hydroxyalantolactone_removed_unused_genes,"Cytochrome metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"D-alanine metabolism",0.333333333333333
1beta-hydroxyalantolactone_removed_unused_genes,"Dietary fiber binding",0
1beta-hydroxyalantolactone_removed_unused_genes,"Drug metabolism",0.075043630017452
1beta-hydroxyalantolactone_removed_unused_genes,"Eicosanoid metabolism",0.10752688172043
1beta-hydroxyalantolactone_removed_unused_genes,"Exchange/demand reaction",0.0526021264689424
1beta-hydroxyalantolactone_removed_unused_genes,"Fatty acid oxidation",0.329864724245578
1beta-hydroxyalantolactone_removed_unused_genes,"Fatty acid synthesis",0.832635983263598
1beta-hydroxyalantolactone_removed_unused_genes,"Folate metabolism",0.508474576271186
1beta-hydroxyalantolactone_removed_unused_genes,"Fructose and mannose metabolism",0.304347826086957
1beta-hydroxyalantolactone_removed_unused_genes,"Galactose metabolism",0.0714285714285714
1beta-hydroxyalantolactone_removed_unused_genes,"Glutamate metabolism",0.3125
1beta-hydroxyalantolactone_removed_unused_genes,"Glutathione metabolism",0.625
1beta-hydroxyalantolactone_removed_unused_genes,"Glycerophospholipid metabolism",0.127272727272727
1beta-hydroxyalantolactone_removed_unused_genes,"Glycine, serine, alanine, and threonine metabolism",0.212765957446809
1beta-hydroxyalantolactone_removed_unused_genes,"Glycolysis/gluconeogenesis",0.428571428571429
1beta-hydroxyalantolactone_removed_unused_genes,"Glycosphingolipid metabolism",0.0704225352112676
1beta-hydroxyalantolactone_removed_unused_genes,"Glyoxylate and dicarboxylate metabolism",0.5
1beta-hydroxyalantolactone_removed_unused_genes,"Heme degradation",0
1beta-hydroxyalantolactone_removed_unused_genes,"Heme synthesis",0
1beta-hydroxyalantolactone_removed_unused_genes,"Heparan sulfate degradation",0
1beta-hydroxyalantolactone_removed_unused_genes,"Hippurate metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Histidine metabolism",0.571428571428571
1beta-hydroxyalantolactone_removed_unused_genes,"Hyaluronan metabolism",1
1beta-hydroxyalantolactone_removed_unused_genes,"Inositol phosphate metabolism",0.323076923076923
1beta-hydroxyalantolactone_removed_unused_genes,"Keratan sulfate degradation",0
1beta-hydroxyalantolactone_removed_unused_genes,"Keratan sulfate synthesis",0
1beta-hydroxyalantolactone_removed_unused_genes,"Leukotriene metabolism",0.125
1beta-hydroxyalantolactone_removed_unused_genes,"Limonene and pinene degradation",0
1beta-hydroxyalantolactone_removed_unused_genes,"Linoleate metabolism",0.777777777777778
1beta-hydroxyalantolactone_removed_unused_genes,"Lipoate metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Lysine metabolism",0.354838709677419
1beta-hydroxyalantolactone_removed_unused_genes,"Methionine and cysteine metabolism",0.391304347826087
1beta-hydroxyalantolactone_removed_unused_genes,"Miscellaneous",0.296052631578947
1beta-hydroxyalantolactone_removed_unused_genes,"N-glycan degradation",0
1beta-hydroxyalantolactone_removed_unused_genes,"N-glycan metabolism",0.333333333333333
1beta-hydroxyalantolactone_removed_unused_genes,"N-glycan synthesis",0.222222222222222
1beta-hydroxyalantolactone_removed_unused_genes,"NAD metabolism",0.296296296296296
1beta-hydroxyalantolactone_removed_unused_genes,"Nucleotide interconversion",0.518292682926829
1beta-hydroxyalantolactone_removed_unused_genes,"Nucleotide metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Nucleotide salvage pathway",0.666666666666667
1beta-hydroxyalantolactone_removed_unused_genes,"Nucleotide sugar metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"O-glycan metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Oxidative phosphorylation",0.7
1beta-hydroxyalantolactone_removed_unused_genes,"Pentose phosphate pathway",0.219512195121951
1beta-hydroxyalantolactone_removed_unused_genes,"Peptide metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Phenylalanine metabolism",0.277777777777778
1beta-hydroxyalantolactone_removed_unused_genes,"Phosphatidylinositol phosphate metabolism",0.025
1beta-hydroxyalantolactone_removed_unused_genes,"Propanoate metabolism",0.666666666666667
1beta-hydroxyalantolactone_removed_unused_genes,"Protein formation",0
1beta-hydroxyalantolactone_removed_unused_genes,"Purine catabolism",0.235294117647059
1beta-hydroxyalantolactone_removed_unused_genes,"Purine synthesis",0.666666666666667
1beta-hydroxyalantolactone_removed_unused_genes,"Pyrimidine catabolism",0.294117647058824
1beta-hydroxyalantolactone_removed_unused_genes,"Pyrimidine synthesis",0.333333333333333
1beta-hydroxyalantolactone_removed_unused_genes,"Pyruvate metabolism",0.40625
1beta-hydroxyalantolactone_removed_unused_genes,"R group synthesis",0.166666666666667
1beta-hydroxyalantolactone_removed_unused_genes,"ROS detoxification",0.857142857142857
1beta-hydroxyalantolactone_removed_unused_genes,"Sphingolipid metabolism",0.0827067669172932
1beta-hydroxyalantolactone_removed_unused_genes,"Squalene and cholesterol synthesis",0.2
1beta-hydroxyalantolactone_removed_unused_genes,"Starch and sucrose metabolism",0.0476190476190476
1beta-hydroxyalantolactone_removed_unused_genes,"Steroid metabolism",0.0555555555555556
1beta-hydroxyalantolactone_removed_unused_genes,"Taurine and hypotaurine metabolism",0.25
1beta-hydroxyalantolactone_removed_unused_genes,"Tetrahydrobiopterin metabolism",0.166666666666667
1beta-hydroxyalantolactone_removed_unused_genes,"Thiamine metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Transport, endoplasmic reticular",0.165876777251185
1beta-hydroxyalantolactone_removed_unused_genes,"Transport, extracellular",0.0399698340874811
1beta-hydroxyalantolactone_removed_unused_genes,"Transport, golgi apparatus",0.0408163265306122
1beta-hydroxyalantolactone_removed_unused_genes,"Transport, lysosomal",0.228571428571429
1beta-hydroxyalantolactone_removed_unused_genes,"Transport, mitochondrial",0.240618101545254
1beta-hydroxyalantolactone_removed_unused_genes,"Transport, nuclear",0.253521126760563
1beta-hydroxyalantolactone_removed_unused_genes,"Transport, peroxisomal",0.207792207792208
1beta-hydroxyalantolactone_removed_unused_genes,"Triacylglycerol synthesis",0.555555555555556
1beta-hydroxyalantolactone_removed_unused_genes,"Tryptophan metabolism",0.333333333333333
1beta-hydroxyalantolactone_removed_unused_genes,"Tyrosine metabolism",0.21505376344086
1beta-hydroxyalantolactone_removed_unused_genes,"Ubiquinone synthesis",0
1beta-hydroxyalantolactone_removed_unused_genes,"Urea cycle",0.225
1beta-hydroxyalantolactone_removed_unused_genes,"Valine, leucine, and isoleucine metabolism",0.2
1beta-hydroxyalantolactone_removed_unused_genes,"Vitamin A metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Vitamin B12 metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Vitamin B2 metabolism",0.444444444444444
1beta-hydroxyalantolactone_removed_unused_genes,"Vitamin B6 metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Vitamin C metabolism",0.4
1beta-hydroxyalantolactone_removed_unused_genes,"Vitamin D metabolism",0
1beta-hydroxyalantolactone_removed_unused_genes,"Vitamin E metabolism",0.4
1beta-hydroxyalantolactone_removed_unused_genes,"Xenobiotics metabolism",0
6-gingerol_removed_unused_genes,"Alanine and aspartate metabolism",0.384615384615385
6-gingerol_removed_unused_genes,"Alkaloid synthesis",0
6-gingerol_removed_unused_genes,"Aminosugar metabolism",0.4375
6-gingerol_removed_unused_genes,"Androgen and estrogen synthesis and metabolism",0.423076923076923
6-gingerol_removed_unused_genes,"Arachidonic acid metabolism",0.170731707317073
6-gingerol_removed_unused_genes,"Arginine and proline metabolism",0.275
6-gingerol_removed_unused_genes,"Beta-Alanine metabolism",0.4
6-gingerol_removed_unused_genes,"Bile acid synthesis",0.102702702702703
6-gingerol_removed_unused_genes,"Biotin metabolism",0
6-gingerol_removed_unused_genes,"Blood group synthesis",0
6-gingerol_removed_unused_genes,"Butanoate metabolism",0
6-gingerol_removed_unused_genes,"C5-branched dibasic acid metabolism",0.5
6-gingerol_removed_unused_genes,"Cholesterol metabolism",0.442148760330579
6-gingerol_removed_unused_genes,"Chondroitin sulfate degradation",0
6-gingerol_removed_unused_genes,"Chondroitin synthesis",0
6-gingerol_removed_unused_genes,"Citric acid cycle",0.5
6-gingerol_removed_unused_genes,"CoA catabolism",0
6-gingerol_removed_unused_genes,"CoA synthesis",0.0714285714285714
6-gingerol_removed_unused_genes,"Cytochrome metabolism",0
6-gingerol_removed_unused_genes,"D-alanine metabolism",0.333333333333333
6-gingerol_removed_unused_genes,"Dietary fiber binding",0
6-gingerol_removed_unused_genes,"Drug metabolism",0.0610820244328098
6-gingerol_removed_unused_genes,"Eicosanoid metabolism",0.129032258064516
6-gingerol_removed_unused_genes,"Exchange/demand reaction",0.0570789031897034
6-gingerol_removed_unused_genes,"Fatty acid oxidation",0.354838709677419
6-gingerol_removed_unused_genes,"Fatty acid synthesis",0.824267782426778
6-gingerol_removed_unused_genes,"Folate metabolism",0.254237288135593
6-gingerol_removed_unused_genes,"Fructose and mannose metabolism",0.434782608695652
6-gingerol_removed_unused_genes,"Galactose metabolism",0.142857142857143
6-gingerol_removed_unused_genes,"Glutamate metabolism",0.375
6-gingerol_removed_unused_genes,"Glutathione metabolism",0.625
6-gingerol_removed_unused_genes,"Glycerophospholipid metabolism",0.175757575757576
6-gingerol_removed_unused_genes,"Glycine, serine, alanine, and threonine metabolism",0.276595744680851
6-gingerol_removed_unused_genes,"Glycolysis/gluconeogenesis",0.642857142857143
6-gingerol_removed_unused_genes,"Glycosphingolipid metabolism",0.183098591549296
6-gingerol_removed_unused_genes,"Glyoxylate and dicarboxylate metabolism",0.642857142857143
6-gingerol_removed_unused_genes,"Heme degradation",0.5
6-gingerol_removed_unused_genes,"Heme synthesis",0.473684210526316
6-gingerol_removed_unused_genes,"Heparan sulfate degradation",0
6-gingerol_removed_unused_genes,"Hippurate metabolism",0
6-gingerol_removed_unused_genes,"Histidine metabolism",0.285714285714286
6-gingerol_removed_unused_genes,"Hyaluronan metabolism",1
6-gingerol_removed_unused_genes,"Inositol phosphate metabolism",0.369230769230769
6-gingerol_removed_unused_genes,"Keratan sulfate degradation",0
6-gingerol_removed_unused_genes,"Keratan sulfate synthesis",0
6-gingerol_removed_unused_genes,"Leukotriene metabolism",0.125
6-gingerol_removed_unused_genes,"Limonene and pinene degradation",0
6-gingerol_removed_unused_genes,"Linoleate metabolism",0.777777777777778
6-gingerol_removed_unused_genes,"Lipoate metabolism",0
6-gingerol_removed_unused_genes,"Lysine metabolism",0.32258064516129
6-gingerol_removed_unused_genes,"Methionine and cysteine metabolism",0.369565217391304
6-gingerol_removed_unused_genes,"Miscellaneous",0.302631578947368
6-gingerol_removed_unused_genes,"N-glycan degradation",0
6-gingerol_removed_unused_genes,"N-glycan metabolism",0.166666666666667
6-gingerol_removed_unused_genes,"N-glycan synthesis",0.0555555555555556
6-gingerol_removed_unused_genes,"NAD metabolism",0.185185185185185
