Var1,Gene,Gene_Symbol,total_rxns,targeted_rxns,targeted_drugs,targeted_drugs_names,targeted_rxns_names
"Androgen and estrogen synthesis and metabolism",1571,NA,19,2,1,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1571,NA,19,2,2,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1645,NA,19,0,3,NA,
"Androgen and estrogen synthesis and metabolism",1645,NA,19,0,4,NA,
"Androgen and estrogen synthesis and metabolism",1109,NA,19,0,5,NA,
"Androgen and estrogen synthesis and metabolism",1109,NA,19,0,6,NA,
"Androgen and estrogen synthesis and metabolism",6718,NA,19,0,7,NA,
"Androgen and estrogen synthesis and metabolism",6820,NA,19,0,8,NA,
"Androgen and estrogen synthesis and metabolism",3283,NA,19,0,9,NA,
"Androgen and estrogen synthesis and metabolism",3283,NA,19,0,10,NA,
"Androgen and estrogen synthesis and metabolism",3283,NA,19,0,11,NA,
"Androgen and estrogen synthesis and metabolism",3283,NA,19,0,12,NA,
"Androgen and estrogen synthesis and metabolism",3283,NA,19,0,13,NA,
"Androgen and estrogen synthesis and metabolism",3283,NA,19,0,14,NA,
"Androgen and estrogen synthesis and metabolism",3284,NA,19,0,15,NA,
"Androgen and estrogen synthesis and metabolism",3284,NA,19,0,16,NA,
"Androgen and estrogen synthesis and metabolism",3284,NA,19,0,17,NA,
"Androgen and estrogen synthesis and metabolism",3284,NA,19,0,18,NA,
"Androgen and estrogen synthesis and metabolism",3284,NA,19,0,19,NA,
"Androgen and estrogen synthesis and metabolism",3284,NA,19,0,20,NA,
"Androgen and estrogen synthesis and metabolism",7173,NA,19,0,21,NA,
"Androgen and estrogen synthesis and metabolism",7173,NA,19,0,22,NA,
"Androgen and estrogen synthesis and metabolism",11283,NA,19,2,23,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",11283,NA,19,2,24,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1557,CYP2C19,19,1,3,Alpelisib; Cyclophosphamide; Letrozole,HMR_2029
"Androgen and estrogen synthesis and metabolism",1543,CYP1A1,19,2,1,Toremifene,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1543,CYP1A1,19,2,1,Toremifene,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1545,CYP1B1,19,2,2,Docetaxel; Paclitaxel,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1545,CYP1B1,19,2,2,Docetaxel; Paclitaxel,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1544,CYP1A2,19,2,3,Abemaciclib; Anastrozole; Paclitaxel,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1544,CYP1A2,19,2,3,Abemaciclib; Anastrozole; Paclitaxel,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1586,CYP17A1,19,2,1,Letrozole,HMR_1944; HMR_1958
"Androgen and estrogen synthesis and metabolism",1586,CYP17A1,19,2,1,Letrozole,HMR_1944; HMR_1958
"Androgen and estrogen synthesis and metabolism",1588,CYP19A1,19,2,5,Anastrozole; Exemestane; Letrozole; Paclitaxel; Trastuzumab,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1588,CYP19A1,19,2,5,Anastrozole; Exemestane; Letrozole; Paclitaxel; Trastuzumab,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1576,CYP3A4,19,2,21,Abemaciclib; Alpelisib; Anastrozole; Cyclophosphamide; Docetaxel; Everolimus; Exemestane; Fulvestrant; Ixabepilone; Letrozole; Megestrol acetate; Methotrexate; Neratinib; Olaparib; Paclitaxel; Palbociclib; Ribociclib; Thiotepa; Toremifene; Trastuzumab deruxtecan; Trastuzumab emtansine,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1576,CYP3A4,19,2,21,Abemaciclib; Alpelisib; Anastrozole; Cyclophosphamide; Docetaxel; Everolimus; Exemestane; Fulvestrant; Ixabepilone; Letrozole; Megestrol acetate; Methotrexate; Neratinib; Olaparib; Paclitaxel; Palbociclib; Ribociclib; Thiotepa; Toremifene; Trastuzumab deruxtecan; Trastuzumab emtansine,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1553,NA,19,2,38,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1553,NA,19,2,39,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1548,CYP2A6,19,2,2,Cyclophosphamide; Letrozole,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1548,CYP2A6,19,2,2,Cyclophosphamide; Letrozole,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1562,CYP2C18,19,2,1,Cyclophosphamide,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1562,CYP2C18,19,2,1,Cyclophosphamide,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1558,CYP2C8,19,2,6,Abemaciclib; Alpelisib; Anastrozole; Cyclophosphamide; Paclitaxel; Tucatinib,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1558,CYP2C8,19,2,6,Abemaciclib; Alpelisib; Anastrozole; Cyclophosphamide; Paclitaxel; Tucatinib,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1559,CYP2C9,19,2,7,Abemaciclib; Alpelisib; Anastrozole; Capecitabine; Cyclophosphamide; Megestrol acetate; Paclitaxel,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1559,CYP2C9,19,2,7,Abemaciclib; Alpelisib; Anastrozole; Capecitabine; Cyclophosphamide; Megestrol acetate; Paclitaxel,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1565,CYP2D6,19,2,2,Abemaciclib; Everolimus,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1565,CYP2D6,19,2,2,Abemaciclib; Everolimus,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1572,NA,19,2,50,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1572,NA,19,2,51,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",64816,NA,19,2,52,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",64816,NA,19,2,53,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1577,CYP3A5,19,2,6,Anastrozole; Cyclophosphamide; Docetaxel; Olaparib; Paclitaxel; Trastuzumab emtansine,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1577,CYP3A5,19,2,6,Anastrozole; Cyclophosphamide; Docetaxel; Olaparib; Paclitaxel; Trastuzumab emtansine,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1551,CYP3A7,19,2,2,Docetaxel; Paclitaxel,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1551,CYP3A7,19,2,2,Docetaxel; Paclitaxel,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",66002,NA,19,2,58,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",66002,NA,19,2,59,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",8288,NA,19,0,60,NA,
"Androgen and estrogen synthesis and metabolism",8288,NA,19,0,61,NA,
"Androgen and estrogen synthesis and metabolism",9588,NA,19,0,62,NA,
"Androgen and estrogen synthesis and metabolism",9588,NA,19,0,63,NA,
"Androgen and estrogen synthesis and metabolism",4353,NA,19,0,64,NA,
"Androgen and estrogen synthesis and metabolism",4353,NA,19,0,65,NA,
"Androgen and estrogen synthesis and metabolism",6715,NA,19,0,66,NA,
"Androgen and estrogen synthesis and metabolism",6716,NA,19,0,67,NA,
"Androgen and estrogen synthesis and metabolism",412,NA,19,0,68,NA,
"Androgen and estrogen synthesis and metabolism",412,NA,19,0,69,NA,
"Androgen and estrogen synthesis and metabolism",4025,NA,19,0,70,NA,
"Androgen and estrogen synthesis and metabolism",4025,NA,19,0,71,NA,
"Androgen and estrogen synthesis and metabolism",1580,NA,19,2,72,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1580,NA,19,2,73,NA,RE2235R; HMR_2029
"Androgen and estrogen synthesis and metabolism",1555,CYP2B6,19,2,4,Abemaciclib; Cyclophosphamide; Olaparib; Thiotepa,RE2235R; HMR_2029
